warehouse_width,warehouse_height,num_robots,num_workstations,order_density,total_orders,completed_orders,completion_time,orders_per_step,robot_efficiency,completion_rate,robot_ratio,shelf_count,sample_id,layout_type
50,85,35,2,0.7936507936507936,997,983,5522,0.17801521187975372,0.005086148910850106,0.9859578736208626,0.027777777777777776,1260,0,original
50,85,30,2,0.7936507936507936,1007,995,5864,0.1696793997271487,0.005655979990904956,0.9880834160873883,0.023809523809523808,1260,1,original
50,85,30,2,0.7936507936507936,980,965,5824,0.1656936813186813,0.005523122710622711,0.9846938775510204,0.023809523809523808,1260,2,original
50,85,30,2,0.7936507936507936,1002,983,6204,0.1584461637653127,0.00528153879217709,0.9810379241516967,0.023809523809523808,1260,3,original
50,85,35,2,0.7936507936507936,1021,1004,5422,0.18517152342309112,0.00529061495494546,0.9833496571988247,0.027777777777777776,1260,4,original
50,85,30,2,0.7936507936507936,991,977,6265,0.1559457302474062,0.005198191008246874,0.9858728557013118,0.023809523809523808,1260,5,original
50,85,30,2,0.7936507936507936,1019,1010,7008,0.14412100456621005,0.004804033485540335,0.9911678115799804,0.023809523809523808,1260,6,original
50,85,35,2,0.7936507936507936,991,979,5020,0.1950199203187251,0.005571997723392146,0.987891019172553,0.027777777777777776,1260,7,original
50,85,40,2,0.7936507936507936,1004,989,4994,0.19803764517420905,0.0049509411293552266,0.9850597609561753,0.031746031746031744,1260,8,original
50,85,40,2,0.7936507936507936,993,981,4674,0.2098844672657253,0.005247111681643132,0.9879154078549849,0.031746031746031744,1260,9,original
50,85,35,2,0.7936507936507936,997,981,5606,0.1749910809846593,0.004999745170990265,0.9839518555667001,0.027777777777777776,1260,10,original
50,85,35,2,0.7936507936507936,1008,994,5401,0.18403999259396409,0.005258285502684688,0.9861111111111112,0.027777777777777776,1260,11,original
50,85,40,2,0.7936507936507936,996,988,5277,0.1872275914345272,0.00468068978586318,0.9919678714859438,0.031746031746031744,1260,12,original
50,85,40,2,0.7936507936507936,982,975,4607,0.21163446928586932,0.005290861732146733,0.9928716904276986,0.031746031746031744,1260,13,original
50,85,45,2,0.7936507936507936,1009,990,4053,0.24426350851221318,0.00542807796693807,0.981169474727453,0.03571428571428571,1260,14,original
50,85,45,2,0.7936507936507936,985,966,4025,0.24,0.005333333333333333,0.9807106598984772,0.03571428571428571,1260,15,original
50,85,45,2,0.7936507936507936,985,976,4338,0.22498847395112956,0.004999743865580657,0.9908629441624366,0.03571428571428571,1260,16,original
50,85,45,2,0.7936507936507936,981,971,4129,0.23516589973359167,0.005225908882968704,0.9898063200815495,0.03571428571428571,1260,17,original
50,85,50,2,0.7936507936507936,996,983,3907,0.2515996928589711,0.005031993857179421,0.9869477911646586,0.03968253968253968,1260,18,original
50,85,45,2,0.7936507936507936,999,997,4692,0.21248934356351237,0.004721985412522497,0.997997997997998,0.03571428571428571,1260,19,original
50,85,40,2,0.7936507936507936,1016,1014,6549,0.1548327989005955,0.003870819972514888,0.9980314960629921,0.031746031746031744,1260,20,original
50,85,50,2,0.7936507936507936,978,969,3725,0.2601342281879195,0.005202684563758389,0.99079754601227,0.03968253968253968,1260,21,original
50,85,50,2,0.7936507936507936,1004,991,4151,0.23873765357745122,0.004774753071549024,0.9870517928286853,0.03968253968253968,1260,22,original
50,85,50,2,0.7936507936507936,1005,985,3675,0.2680272108843537,0.005360544217687075,0.9800995024875622,0.03968253968253968,1260,23,original
50,85,55,2,0.7936507936507936,1007,994,3346,0.29707112970711297,0.005401293267402054,0.9870903674280039,0.04365079365079365,1260,24,original
50,85,55,2,0.7936507936507936,1018,993,3461,0.28691129731291537,0.005216569042053006,0.9754420432220039,0.04365079365079365,1260,25,original
50,85,55,2,0.7936507936507936,1005,993,3458,0.2871602082128398,0.005221094694778905,0.9880597014925373,0.04365079365079365,1260,26,original
50,85,50,2,0.7936507936507936,984,979,5100,0.19196078431372549,0.00383921568627451,0.9949186991869918,0.03968253968253968,1260,27,original
50,85,55,2,0.7936507936507936,1009,1004,3721,0.26981994087610855,0.0049058171068383375,0.9950445986124876,0.04365079365079365,1260,28,original
50,85,55,2,0.7936507936507936,991,987,3705,0.2663967611336032,0.004843577475156423,0.9959636730575177,0.04365079365079365,1260,29,original
50,85,60,2,0.7936507936507936,973,966,3832,0.2520876826722338,0.004201461377870564,0.9928057553956835,0.047619047619047616,1260,30,original
50,85,60,2,0.7936507936507936,1004,994,3700,0.2686486486486486,0.004477477477477477,0.9900398406374502,0.047619047619047616,1260,31,original
50,85,60,2,0.7936507936507936,999,978,3022,0.32362673726009267,0.005393778954334878,0.978978978978979,0.047619047619047616,1260,32,original
50,85,60,2,0.7936507936507936,1001,990,3243,0.30527289546716,0.005087881591119334,0.989010989010989,0.047619047619047616,1260,33,original
50,85,60,2,0.7936507936507936,999,993,3357,0.2957998212689902,0.004929997021149836,0.993993993993994,0.047619047619047616,1260,34,original
50,85,65,2,0.7936507936507936,987,972,2995,0.3245409015025042,0.004992936946192372,0.9848024316109423,0.051587301587301584,1260,35,original
50,85,65,2,0.7936507936507936,1013,1000,3031,0.32992411745298583,0.005075755653122858,0.9871668311944719,0.051587301587301584,1260,36,original
50,85,65,2,0.7936507936507936,1003,996,3739,0.266381385397165,0.004098175159956385,0.9930209371884346,0.051587301587301584,1260,37,original
50,85,65,2,0.7936507936507936,1004,995,3111,0.31983285117325616,0.0049205054026654794,0.9910358565737052,0.051587301587301584,1260,38,original
50,85,70,2,0.7936507936507936,1030,1019,3108,0.32786357786357784,0.004683765398051112,0.9893203883495145,0.05555555555555555,1260,39,original
50,85,70,2,0.7936507936507936,1007,979,2956,0.33119079837618404,0.004731297119659772,0.9721946375372393,0.05555555555555555,1260,40,original
50,85,70,2,0.7936507936507936,986,976,3045,0.32052545155993434,0.004578935022284776,0.9898580121703854,0.05555555555555555,1260,41,original
50,85,65,2,0.7936507936507936,1003,997,4651,0.21436250268759408,0.0032978846567322164,0.9940179461615155,0.051587301587301584,1260,42,original
50,85,70,2,0.7936507936507936,1002,985,2761,0.3567547989858747,0.005096497128369638,0.9830339321357285,0.05555555555555555,1260,43,original
50,85,75,2,0.7936507936507936,1015,1005,2710,0.37084870848708484,0.004944649446494465,0.9901477832512315,0.05952380952380952,1260,44,original
50,85,70,2,0.7936507936507936,999,993,3880,0.25592783505154637,0.0036561119293078057,0.993993993993994,0.05555555555555555,1260,45,original
50,85,75,2,0.7936507936507936,1004,990,2691,0.36789297658862874,0.004905239687848384,0.9860557768924303,0.05952380952380952,1260,46,original
50,85,75,2,0.7936507936507936,993,982,2671,0.36765256458255335,0.004902034194434045,0.9889224572004028,0.05952380952380952,1260,47,original
50,85,80,2,0.7936507936507936,984,965,2410,0.4004149377593361,0.005005186721991702,0.9806910569105691,0.06349206349206349,1260,48,original
50,85,75,2,0.7936507936507936,1011,1005,3238,0.31037677578752315,0.004138357010500309,0.9940652818991098,0.05952380952380952,1260,49,original
50,85,75,2,0.7936507936507936,1016,1007,3530,0.28526912181303116,0.0038035882908404157,0.9911417322834646,0.05952380952380952,1260,50,original
50,85,80,2,0.7936507936507936,1003,996,2499,0.3985594237695078,0.004981992797118848,0.9930209371884346,0.06349206349206349,1260,51,original
50,85,80,2,0.7936507936507936,1009,970,2402,0.4038301415487094,0.005047876769358868,0.9613478691774033,0.06349206349206349,1260,52,original
50,85,80,2,0.7936507936507936,1001,981,2522,0.38897700237906424,0.004862212529738303,0.98001998001998,0.06349206349206349,1260,53,original
50,85,80,2,0.7936507936507936,1028,1017,3204,0.31741573033707865,0.003967696629213483,0.9892996108949417,0.06349206349206349,1260,54,original
50,85,85,2,0.7936507936507936,988,979,2785,0.35152603231597845,0.0041356003801879815,0.9908906882591093,0.06746031746031746,1260,55,original
50,85,85,2,0.7936507936507936,984,977,2395,0.40793319415448853,0.004799214048876336,0.9928861788617886,0.06746031746031746,1260,56,original
50,85,85,2,0.7936507936507936,1002,980,2288,0.42832167832167833,0.005039078568490334,0.9780439121756487,0.06746031746031746,1260,57,original
50,85,85,2,0.7936507936507936,1000,994,3701,0.26857606052418265,0.0031597183591080312,0.994,0.06746031746031746,1260,58,original
50,85,85,2,0.7936507936507936,992,981,2787,0.3519913885898816,0.00414107515988096,0.9889112903225806,0.06746031746031746,1260,59,original
50,85,90,2,0.7936507936507936,1015,1002,2210,0.45339366515837104,0.005037707390648567,0.987192118226601,0.07142857142857142,1260,60,original
50,85,90,2,0.7936507936507936,974,950,2270,0.4185022026431718,0.00465002447381302,0.9753593429158111,0.07142857142857142,1260,61,original
50,85,90,2,0.7936507936507936,1005,990,2348,0.42163543441226575,0.004684838160136286,0.9850746268656716,0.07142857142857142,1260,62,original
50,85,90,2,0.7936507936507936,1000,976,2200,0.44363636363636366,0.004929292929292929,0.976,0.07142857142857142,1260,63,original
50,85,90,2,0.7936507936507936,1030,1022,3676,0.2780195865070729,0.0030891065167452545,0.9922330097087378,0.07142857142857142,1260,64,original
50,85,95,2,0.7936507936507936,992,965,2136,0.4517790262172285,0.004755568697023457,0.9727822580645161,0.07539682539682539,1260,65,original
50,85,95,2,0.7936507936507936,1017,1004,2076,0.4836223506743738,0.00509076158604604,0.9872173058013766,0.07539682539682539,1260,66,original
50,85,95,2,0.7936507936507936,1005,991,2079,0.4766714766714767,0.005017594491278702,0.9860696517412936,0.07539682539682539,1260,67,original
50,85,95,2,0.7936507936507936,998,990,2686,0.3685778108711839,0.0038797664302229885,0.9919839679358717,0.07539682539682539,1260,68,original
